Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,2.340000,2.390000,1.650000,2.000000,2.000000,130500
2019-06-28,2.050000,2.590000,2.050000,2.220000,2.220000,237600
2019-07-01,2.220000,2.300000,2.150000,2.200000,2.200000,52800
2019-07-02,2.200000,2.490000,2.100000,2.240000,2.240000,184900
2019-07-03,2.240000,2.320000,2.200000,2.200000,2.200000,17600
2019-07-05,2.210000,2.290000,2.210000,2.270000,2.270000,24200
2019-07-08,2.300000,2.400000,2.270000,2.310000,2.310000,112300
2019-07-09,2.350000,2.420000,2.270000,2.360000,2.360000,125500
2019-07-10,2.350000,2.350000,2.270000,2.300000,2.300000,13800
2019-07-11,2.320000,2.350000,2.200000,2.200000,2.200000,38300
2019-07-12,2.230000,2.260000,2.200000,2.200000,2.200000,97800
2019-07-15,2.220000,2.290000,2.200000,2.260000,2.260000,17600
2019-07-16,2.230000,2.240000,2.160000,2.200000,2.200000,62600
2019-07-17,2.210000,2.210000,2.100000,2.100000,2.100000,9300
2019-07-18,2.130000,2.140000,2.050000,2.140000,2.140000,12800
2019-07-19,2.140000,2.210000,2.090000,2.110000,2.110000,16900
2019-07-22,2.110000,2.130000,2.050000,2.100000,2.100000,15700
2019-07-23,2.080000,2.160000,2.050000,2.090000,2.090000,25700
2019-07-24,2.140000,2.210000,2.120000,2.210000,2.210000,49500
2019-07-25,2.240000,2.250000,2.080000,2.180000,2.180000,48800
2019-07-26,2.170000,2.200000,2.020000,2.060000,2.060000,35400
2019-07-29,2.080000,2.250000,2.080000,2.140000,2.140000,46700
2019-07-30,2.150000,2.150000,1.920000,2.010000,2.010000,65000
2019-07-31,2.000000,2.100000,1.970000,1.970000,1.970000,12200
2019-08-01,2.000000,2.030000,1.710000,1.870000,1.870000,44000
2019-08-02,1.760000,1.960000,1.530000,1.830000,1.830000,119600
2019-08-05,1.800000,1.810000,1.760000,1.790000,1.790000,49100
2019-08-06,1.830000,1.830000,1.610000,1.780000,1.780000,26100
2019-08-07,1.740000,1.830000,1.720000,1.830000,1.830000,18000
2019-08-08,1.810000,2.150000,1.660000,1.900000,1.900000,16500
2019-08-09,1.920000,1.920000,1.850000,1.850000,1.850000,7400
2019-08-12,1.860000,1.960000,1.740000,1.760000,1.760000,82900
2019-08-13,1.740000,1.880000,1.660000,1.720000,1.720000,21600
2019-08-14,1.660000,1.660000,1.550000,1.620000,1.620000,39700
2019-08-15,1.610000,1.690000,1.610000,1.630000,1.630000,40300
2019-08-16,1.620000,1.700000,1.620000,1.650000,1.650000,46600
2019-08-19,1.650000,1.850000,1.650000,1.650000,1.650000,28400
2019-08-20,1.660000,1.840000,1.660000,1.740000,1.740000,4400
2019-08-21,1.740000,1.780000,1.630000,1.710000,1.710000,13200
2019-08-22,1.800000,1.850000,1.620000,1.850000,1.850000,39200
2019-08-23,1.820000,1.880000,1.710000,1.880000,1.880000,17600
2019-08-26,1.890000,1.930000,1.760000,1.860000,1.860000,7800
2019-08-27,1.840000,1.840000,1.740000,1.820000,1.820000,72600
2019-08-28,1.800000,2.080000,1.800000,2.080000,2.080000,10400
2019-08-29,2.050000,2.050000,1.820000,1.840000,1.840000,6800
2019-08-30,1.850000,1.980000,1.850000,1.870000,1.870000,8000
2019-09-03,1.880000,1.900000,1.710000,1.710000,1.710000,12100
2019-09-04,1.820000,1.950000,1.650000,1.720000,1.720000,15000
2019-09-05,1.750000,1.800000,1.700000,1.700000,1.700000,3600
2019-09-06,1.790000,1.810000,1.740000,1.740000,1.740000,3900
2019-09-09,1.730000,1.870000,1.720000,1.870000,1.870000,9000
2019-09-10,1.870000,1.870000,1.730000,1.850000,1.850000,18100
2019-09-11,1.850000,1.950000,1.850000,1.900000,1.900000,32600
2019-09-12,1.880000,1.980000,1.840000,1.980000,1.980000,29400
2019-09-13,2.000000,2.000000,1.860000,1.910000,1.910000,17100
2019-09-16,1.900000,1.920000,1.850000,1.850000,1.850000,15900
2019-09-17,1.850000,1.850000,1.800000,1.800000,1.800000,17400
2019-09-18,1.800000,1.800000,1.710000,1.710000,1.710000,11500
2019-09-19,1.740000,1.800000,1.710000,1.760000,1.760000,9300
2019-09-20,1.720000,1.750000,1.670000,1.750000,1.750000,57000
2019-09-23,1.730000,1.790000,1.710000,1.720000,1.720000,4900
2019-09-24,1.740000,1.790000,1.670000,1.680000,1.680000,15800
2019-09-25,1.800000,1.800000,1.650000,1.650000,1.650000,11600
2019-09-26,1.660000,1.700000,1.660000,1.670000,1.670000,4300
2019-09-27,1.680000,1.700000,1.650000,1.650000,1.650000,6100
2019-09-30,1.660000,1.720000,1.650000,1.690000,1.690000,52700
2019-10-01,1.660000,1.760000,1.660000,1.730000,1.730000,20400
2019-10-02,1.710000,1.770000,1.640000,1.640000,1.640000,115000
2019-10-03,1.630000,1.750000,1.600000,1.650000,1.650000,14600
2019-10-04,1.690000,1.700000,1.680000,1.700000,1.700000,27200
2019-10-07,1.620000,1.700000,1.620000,1.670000,1.670000,6100
2019-10-08,1.640000,1.670000,1.560000,1.670000,1.670000,53300
2019-10-09,1.650000,1.660000,1.620000,1.620000,1.620000,9800
2019-10-10,1.650000,1.650000,1.600000,1.610000,1.610000,30600
2019-10-11,1.620000,1.660000,1.570000,1.640000,1.640000,23300
2019-10-14,1.570000,1.610000,1.570000,1.600000,1.600000,4800
2019-10-15,1.590000,1.600000,1.520000,1.600000,1.600000,38900
2019-10-16,1.600000,1.630000,1.600000,1.600000,1.600000,5600
2019-10-17,1.620000,1.650000,1.560000,1.570000,1.570000,7400
2019-10-18,1.580000,1.610000,1.580000,1.610000,1.610000,11700
2019-10-21,1.610000,1.650000,1.510000,1.530000,1.530000,14700
2019-10-22,1.530000,1.590000,1.530000,1.550000,1.550000,26900
2019-10-23,1.500000,1.550000,1.500000,1.540000,1.540000,29700
2019-10-24,1.540000,1.570000,1.530000,1.550000,1.550000,25100
2019-10-25,1.540000,1.560000,1.510000,1.550000,1.550000,41600
2019-10-28,1.530000,1.610000,1.510000,1.520000,1.520000,31900
2019-10-29,1.550000,1.700000,1.550000,1.560000,1.560000,68200
2019-10-30,1.560000,1.660000,1.520000,1.570000,1.570000,31400
2019-10-31,1.580000,1.640000,1.530000,1.640000,1.640000,22000
2019-11-01,1.630000,1.650000,1.580000,1.600000,1.600000,33400
2019-11-04,1.590000,1.630000,1.540000,1.580000,1.580000,11300
2019-11-05,1.550000,1.610000,1.540000,1.560000,1.560000,29100
2019-11-06,1.580000,1.600000,1.550000,1.550000,1.550000,8200
2019-11-07,1.540000,1.640000,1.480000,1.480000,1.480000,34600
2019-11-08,1.590000,1.590000,1.410000,1.510000,1.510000,69700
2019-11-11,1.520000,1.620000,1.510000,1.530000,1.530000,9100
2019-11-12,1.550000,1.550000,1.510000,1.530000,1.530000,5100
2019-11-13,1.510000,1.550000,1.420000,1.550000,1.550000,37900
2019-11-14,1.520000,1.530000,1.490000,1.500000,1.500000,14000
2019-11-15,1.490000,1.530000,1.470000,1.500000,1.500000,13700
2019-11-18,1.510000,1.530000,1.480000,1.480000,1.480000,18200
2019-11-19,1.500000,1.550000,1.450000,1.460000,1.460000,25100
2019-11-20,1.480000,1.540000,1.460000,1.460000,1.460000,13800
2019-11-21,1.440000,1.450000,1.440000,1.450000,1.450000,20300
2019-11-22,1.470000,1.630000,1.470000,1.500000,1.500000,34300
2019-11-25,1.550000,1.650000,1.420000,1.560000,1.560000,95000
2019-11-26,1.580000,1.580000,1.440000,1.470000,1.470000,43800
2019-11-27,1.460000,1.570000,1.460000,1.500000,1.500000,13000
2019-11-29,1.500000,1.510000,1.460000,1.460000,1.460000,3900
2019-12-02,1.470000,1.520000,1.450000,1.450000,1.450000,30400
2019-12-03,1.470000,1.520000,1.400000,1.500000,1.500000,21500
2019-12-04,1.520000,1.530000,1.430000,1.460000,1.460000,10800
2019-12-05,1.520000,1.560000,1.500000,1.560000,1.560000,46200
2019-12-06,1.600000,1.690000,1.580000,1.630000,1.630000,38400
2019-12-09,1.680000,1.730000,1.580000,1.730000,1.730000,22600
2019-12-10,1.630000,1.740000,1.630000,1.650000,1.650000,47100
2019-12-11,1.650000,1.740000,1.650000,1.720000,1.720000,21300
2019-12-12,1.710000,1.850000,1.710000,1.790000,1.790000,44300
2019-12-13,1.850000,1.850000,1.750000,1.840000,1.840000,28200
2019-12-16,1.840000,1.870000,1.760000,1.810000,1.810000,24700
2019-12-17,1.830000,1.850000,1.800000,1.850000,1.850000,27500
